date,ticker,asset_class,close,currency
2020-04-23,EUNL.DE,ETF,49.54899978637695,EUR
2020-04-24,EUNL.DE,ETF,49.14799880981445,EUR
2020-04-27,EUNL.DE,ETF,50.23400115966797,EUR
2020-04-28,EUNL.DE,ETF,50.61000061035156,EUR
2020-04-29,EUNL.DE,ETF,51.41999816894531,EUR
2020-04-30,EUNL.DE,ETF,50.555999755859375,EUR
2020-05-04,EUNL.DE,ETF,49.01599884033203,EUR
2020-05-05,EUNL.DE,ETF,50.49599838256836,EUR
2020-05-06,EUNL.DE,ETF,50.290000915527344,EUR
2020-05-07,EUNL.DE,ETF,50.85200119018555,EUR
2020-05-08,EUNL.DE,ETF,51.108001708984375,EUR
2020-05-11,EUNL.DE,ETF,51.28799819946289,EUR
2020-05-12,EUNL.DE,ETF,51.17599868774414,EUR
2020-05-13,EUNL.DE,ETF,49.98199844360352,EUR
2020-05-14,EUNL.DE,ETF,49.43000030517578,EUR
2020-05-15,EUNL.DE,ETF,49.71900177001953,EUR
2020-05-18,EUNL.DE,ETF,51.52199935913086,EUR
2020-05-19,EUNL.DE,ETF,51.3380012512207,EUR
2020-05-20,EUNL.DE,ETF,51.540000915527344,EUR
2020-05-21,EUNL.DE,ETF,51.07799911499024,EUR
2020-05-22,EUNL.DE,ETF,51.13999938964844,EUR
2020-05-26,EUNL.DE,ETF,52.18199920654297,EUR
2020-05-27,EUNL.DE,ETF,52.03200149536133,EUR
2020-05-28,EUNL.DE,ETF,52.81399917602539,EUR
2020-05-29,EUNL.DE,ETF,51.81600189208984,EUR
2020-06-02,EUNL.DE,ETF,52.68600082397461,EUR
2020-06-03,EUNL.DE,ETF,53.51399993896485,EUR
2020-06-04,EUNL.DE,ETF,52.9900016784668,EUR
2020-06-05,EUNL.DE,ETF,54.45600128173828,EUR
2020-06-08,EUNL.DE,ETF,54.5,EUR
2020-06-09,EUNL.DE,ETF,54.09600067138672,EUR
2020-06-10,EUNL.DE,ETF,53.9739990234375,EUR
2020-06-11,EUNL.DE,ETF,51.93000030517578,EUR
2020-06-12,EUNL.DE,ETF,52.01599884033203,EUR
2020-06-15,EUNL.DE,ETF,51.560001373291016,EUR
2020-06-16,EUNL.DE,ETF,53.25,EUR
2020-06-17,EUNL.DE,ETF,53.5880012512207,EUR
2020-06-18,EUNL.DE,ETF,53.34199905395508,EUR
2020-06-19,EUNL.DE,ETF,53.77000045776367,EUR
2020-06-22,EUNL.DE,ETF,53.09400177001953,EUR
2020-06-23,EUNL.DE,ETF,53.58000183105469,EUR
2020-06-24,EUNL.DE,ETF,52.19200134277344,EUR
2020-06-25,EUNL.DE,ETF,52.4119987487793,EUR
2020-06-26,EUNL.DE,ETF,52.23400115966797,EUR
2020-06-29,EUNL.DE,ETF,52.30400085449219,EUR
2020-06-30,EUNL.DE,ETF,52.698001861572266,EUR
2020-07-01,EUNL.DE,ETF,53.02199935913086,EUR
2020-07-02,EUNL.DE,ETF,53.84799957275391,EUR
2020-07-06,EUNL.DE,ETF,54.2239990234375,EUR
2020-07-07,EUNL.DE,ETF,54.13999938964844,EUR
2020-07-08,EUNL.DE,ETF,53.53400039672852,EUR
2020-07-09,EUNL.DE,ETF,53.34400177001953,EUR
2020-07-10,EUNL.DE,ETF,53.84199905395508,EUR
2020-07-13,EUNL.DE,ETF,54.67399978637695,EUR
2020-07-14,EUNL.DE,ETF,53.672000885009766,EUR
2020-07-15,EUNL.DE,ETF,54.36600112915039,EUR
2020-07-16,EUNL.DE,ETF,54.12200164794922,EUR
